WITH X Position from IMU Setpoint (in cm),WITH Velocity Estimate from Encoder (in rad/s),WITHOUT X Position from IMU Setpoint (in cm),WITHOUT Velocity Estimate from Encoder (in rad/s),Time ,,,,,,,,,,
-0.5625,-0.42,0.3125,0.03,0.1611458333,,,,,,,,,,
-0.625,-0.42,0.0625,-0.05,0.1612500000,,,,,,,,,,
-0.75,-0.27,-0.1875,0.04,0.1613541667,,,,,,,,,,
-0.9375,-0.38,-0.4375,0,0.1614583333,,,,,,,,,,
-1.125,-0.16,-0.625,-0.03,0.1615625000,,,,,,,,,,
-1.1875,-0.02,-0.875,0.01,0.1616666667,,,,,,,,,,
-1.1875,-0.02,-1.0625,-0.01,0.1617708333,,,,,,,,,,
-1.5625,-0.01,-1.25,0.03,0.1618750000,,,,,,,,,,
-1.5625,-0.08,-1.4375,-0.03,0.1619791667,,,,,,,,,,
-1.8125,-0.16,-1.5625,0.04,0.1620833333,,,,,,,,,,
-1.8125,-0.57,-1.75,-0.02,0.1621875000,,,,,,,,,,
-1.875,-0.86,-1.8125,0.02,0.1622916667,,,,,,,,,,
-1.9375,-1.1,-1.9375,-0.01,0.1623958333,,,,,,,,,,
-2,-1.26,-2,0,0.1625000000,,,,,,,,,,
-1.9375,-1.52,-2.0625,0.05,0.1626041667,,,,,,,,,,
-1.9375,-1.66,-2.125,0.01,0.1627083333,,,,,,,,,,
-2,-1.58,-2.125,-0.03,0.1628125000,,,,,,,,,,
-2.125,-1.55,-2.125,0.01,0.1629166667,,,,,,,,,,
-2.125,-1.55,-2.125,0.04,0.1630208333,,,,,,,,,,
-2.1875,-1.57,-2.125,0.01,0.1631250000,,,,,,,,,,
-2.25,-1.57,-2.0625,0.03,0.1632291667,,,,,,,,,,
-2.25,-1.74,-1.9375,-0.01,0.1633333333,,,,,,,,,,
-2.25,-1.72,-1.875,0.01,0.1634375000,,,,,,,,,,
-2.25,-1.83,-1.75,-0.05,0.1635416667,,,,,,,,,,
-2.25,-1.94,-1.75,0.01,0.1636458333,,,,,,,,,,
-2.1875,-1.76,-1.625,0,0.1637500000,,,,,,,,,,
-2.1875,-1.73,-1.5,0,0.1638541667,,,,,,,,,,
-2.0625,-1.58,-1.125,0.01,0.1639583333,,,,,,,,,,
-2.0625,-1.36,-1.125,0.03,0.1640625000,,,,,,,,,,
-2,-1.08,-0.875,0.02,0.1641666667,,,,,,,,,,
-1.8125,-0.53,-0.4375,0.04,0.1642708333,,,,,,,,,,
-1.8125,-0.28,-0.4375,0.03,0.1643750000,,,,,,,,,,
-1.75,0.12,0.0625,0.03,0.1644791667,,,,,,,,,,
-1.8125,0.3,0.0625,0.01,0.1645833333,,,,,,,,,,
-1.8125,0.7,0.5625,-0.01,0.1646875000,,,,,,,,,,
-1.6875,0.82,0.8125,0,0.1647916667,,,,,,,,,,
-1.5,1.07,0.8125,0.03,0.1648958333,,,,,,,,,,
-1.4375,1.19,1.375,0.03,0.1650000000,,,,,,,,,,
-1.25,1.32,1.375,-0.01,0.1651041667,,,,,,,,,,
-1.125,1.56,1.6875,0,0.1652083333,,,,,,,,,,
-0.8125,1.57,2.25,-0.03,0.1653125000,,,,,,,,,,
-0.8125,1.7,2.25,0.03,0.1654166667,,,,,,,,,,
-0.6875,1.76,2.5625,-0.02,0.1655208333,,,,,,,,,,
-0.4375,1.74,2.8125,0,0.1656250000,,,,,,,,,,
-0.25,1.66,3.125,-0.02,0.1657291667,,,,,,,,,,
-0.125,1.64,3.625,-0.04,0.1658333333,,,,,,,,,,
0.0625,1.49,3.875,-0.02,0.1659375000,,,,,,,,,,
0.1875,1.4,3.875,-0.03,0.1660416667,,,,,,,,,,
0.3125,1.18,4.125,-0.01,0.1661458333,,,,,,,,,,
0.4375,1.09,4.375,0.07,0.1662500000,,,,,,,,,,
0.5625,0.94,4.75,0.02,0.1663541667,,,,,,,,,,
0.6875,0.67,4.75,-0.02,0.1664583333,,,,,,,,,,
0.75,0.72,4.9375,-0.02,0.1665625000,,,,,,,,,,
0.875,0.6,5.1875,0.03,0.1666666667,,,,,,,,,,
1,0.4,5.3125,-0.01,0.1667708333,,,,,,,,,,
1.125,0.44,5.5,0.03,0.1668750000,,,,,,,,,,
1.1875,0.31,5.625,0.02,0.1669791667,,,,,,,,,,
1.375,0.36,5.6875,0.03,0.1670833333,,,,,,,,,,
1.375,0.43,5.8125,-0.04,0.1671875000,,,,,,,,,,
1.5,0.46,5.875,0.03,0.1672916667,,,,,,,,,,
1.5,0.54,5.9375,-0.03,0.1673958333,,,,,,,,,,
1.5625,0.52,5.9375,-0.02,0.1675000000,,,,,,,,,,
1.5625,0.63,5.9375,-0.02,0.1676041667,,,,,,,,,,
1.5625,0.62,5.9375,0.03,0.1677083333,,,,,,,,,,
1.5625,0.65,5.875,0.02,0.1678125000,,,,,,,,,,
1.5625,0.6,5.8125,0,0.1679166667,,,,,,,,,,
1.5,0.72,5.75,-0.03,0.1680208333,,,,,,,,,,
1.5,0.55,5.6875,0.01,0.1681250000,,,,,,,,,,
1.5625,0.46,5.5625,0,0.1682291667,,,,,,,,,,
1.5625,0.57,5.375,-0.01,0.1683333333,,,,,,,,,,
1.5,0.34,5.25,-0.03,0.1684375000,,,,,,,,,,
1.5,0.32,5.0625,-0.02,0.1685416667,,,,,,,,,,
1.5,0.17,4.8125,-0.04,0.1686458333,,,,,,,,,,
1.5,0.05,4.625,-0.03,0.1687500000,,,,,,,,,,
1.375,-0.02,4.375,-0.04,0.1688541667,,,,,,,,,,
1.3125,-0.01,4.1875,0.01,0.1689583333,,,,,,,,,,
1.1875,0.01,3.9375,0.01,0.1690625000,,,,,,,,,,
1,-0.05,3.625,-0.02,0.1691666667,,,,,,,,,,
0.875,-0.06,3.375,0.01,0.1692708333,,,,,,,,,,
0.75,-0.05,3.125,0.01,0.1693750000,,,,,,,,,,
0.625,-0.13,2.875,-0.04,0.1694791667,,,,,,,,,,
0.5,-0.18,2.5625,-0.02,0.1695833333,,,,,,,,,,
0.375,-0.14,2.3125,-0.02,0.1696875000,,,,,,,,,,
0.25,-0.26,2.0625,-0.03,0.1697916667,,,,,,,,,,
0.125,-0.39,1.75,-0.01,0.1698958333,,,,,,,,,,
0.0625,-0.24,1.5,0.01,0.1700000000,,,,,,,,,,
0,-0.14,1.25,0,0.1701041667,,,,,,,,,,
-0.125,-0.18,1,0.02,0.1702083333,,,,,,,,,,
-0.3125,-0.32,0.6875,-0.06,0.1703125000,,,,,,,,,,
-0.5,-0.29,0.4375,-0.01,0.1704166667,,,,,,,,,,
-0.5625,-0.37,0.1875,-0.04,0.1705208333,,,,,,,,,,
-0.6875,-0.39,0,0.03,0.1706250000,,,,,,,,,,
-0.9375,-0.28,-0.25,-0.03,0.1707291667,,,,,,,,,,
-1,-0.38,-0.4375,0.01,0.1708333333,,,,,,,,,,
-1.1875,-0.15,-0.6875,0,0.1709375000,,,,,,,,,,
-1.3125,0.04,-0.875,0,0.1710416667,,,,,,,,,,
-1.4375,-0.04,-1,-0.01,0.1711458333,,,,,,,,,,
-1.5625,-0.03,-1.1875,-0.02,0.1712500000,,,,,,,,,,
-1.6875,-0.2,-1.3125,0,0.1713541667,,,,,,,,,,
-1.6875,-0.45,-1.375,0.04,0.1714583333,,,,,,,,,,
-1.6875,-0.76,-1.5,-0.04,0.1715625000,,,,,,,,,,
-1.6875,-0.95,-1.5625,-0.03,0.1716666667,,,,,,,,,,
-1.75,-1.01,-1.625,0,0.1717708333,,,,,,,,,,
-1.75,-1.07,-1.6875,-0.04,0.1718750000,,,,,,,,,,
-1.75,-1.1,-1.75,0,0.1719791667,,,,,,,,,,
-1.9375,-1.04,-1.75,0.01,0.1720833333,,,,,,,,,,
-2.0625,-1.03,-1.75,0.05,0.1721875000,,,,,,,,,,
-2.125,-1,-1.6875,-0.01,0.1722916667,,,,,,,,,,
-2.125,-1.21,-1.6875,0,0.1723958333,,,,,,,,,,
-2.1875,-1.4,-1.625,0.05,0.1725000000,,,,,,,,,,
-2.1875,-1.53,-1.5625,-0.03,0.1726041667,,,,,,,,,,
-2.0625,-1.8,-1.4375,0.03,0.1727083333,,,,,,,,,,
-2,-1.83,-1.3125,0.03,0.1728125000,,,,,,,,,,
-2,-1.71,-1.1875,0,0.1729166667,,,,,,,,,,
-1.9375,-1.63,-1.0625,0.01,0.1730208333,,,,,,,,,,
-1.875,-1.24,-0.875,-0.01,0.1731250000,,,,,,,,,,
-1.875,-0.86,-0.6875,0,0.1732291667,,,,,,,,,,
-1.8125,-0.58,-0.5,-0.01,0.1733333333,,,,,,,,,,
-1.8125,-0.06,-0.25,-0.01,0.1734375000,,,,,,,,,,
-1.875,0.2,-0.0625,-0.01,0.1735416667,,,,,,,,,,
-1.9375,0.23,0.1875,-0.02,0.1736458333,,,,,,,,,,
-1.875,0.2,0.375,0,0.1737500000,,,,,,,,,,
-1.6875,0.09,0.625,-0.06,0.1738541667,,,,,,,,,,
-1.4375,0.09,0.9375,0.04,0.1739583333,,,,,,,,,,
-1.25,0.1,1.1875,-0.03,0.1740625000,,,,,,,,,,
-1.125,0.28,1.4375,0,0.1741666667,,,,,,,,,,
-1,0.73,1.6875,0.05,0.1742708333,,,,,,,,,,
-0.875,0.93,2,-0.03,0.1743750000,,,,,,,,,,
-0.875,1.27,2.25,-0.01,0.1744791667,,,,,,,,,,
-0.75,1.31,2.5,-0.04,0.1745833333,,,,,,,,,,
-0.5625,1.6,2.8125,0.01,0.1746875000,,,,,,,,,,
-0.375,1.49,3.0625,-0.06,0.1747916667,,,,,,,,,,
-0.25,1.45,3.3125,-0.01,0.1748958333,,,,,,,,,,
-0.0625,1.35,3.5625,-0.03,0.1750000000,,,,,,,,,,
0,1.26,3.8125,0.04,0.1751041667,,,,,,,,,,
0.125,1.04,4,-0.04,0.1752083333,,,,,,,,,,
0.25,1.06,4.25,-0.05,0.1753125000,,,,,,,,,,
0.375,0.9,4.4375,-0.07,0.1754166667,,,,,,,,,,
0.5625,0.74,4.625,0.06,0.1755208333,,,,,,,,,,
0.75,0.67,4.8125,0.02,0.1756250000,,,,,,,,,,
0.8125,0.57,5,0.06,0.1757291667,,,,,,,,,,
0.9375,0.48,5.1875,0.04,0.1758333333,,,,,,,,,,
1.0625,0.33,5.375,0.02,0.1759375000,,,,,,,,,,
1.1875,0.19,5.5,-0.01,0.1760416667,,,,,,,,,,
1.25,0.34,5.5625,-0.01,0.1761458333,,,,,,,,,,
1.3125,0.36,5.6875,-0.02,0.1762500000,,,,,,,,,,
1.25,0.37,5.75,0,0.1763541667,,,,,,,,,,
1.25,0.44,5.8125,-0.01,0.1764583333,,,,,,,,,,
1.25,0.43,5.8125,0.02,0.1765625000,,,,,,,,,,
1.3125,0.42,5.875,-0.02,0.1766666667,,,,,,,,,,
1.3125,0.37,5.875,-0.05,0.1767708333,,,,,,,,,,
1.4375,0.25,5.8125,0,0.1768750000,,,,,,,,,,
1.4375,0.32,5.8125,-0.01,0.1769791667,,,,,,,,,,
1.4375,0.34,5.75,0,0.1770833333,,,,,,,,,,
1.4375,0.42,5.6875,0.04,0.1771875000,,,,,,,,,,
1.5,0.55,5.5625,0.03,0.1772916667,,,,,,,,,,
1.5,0.37,5.5,0.02,0.1773958333,,,,,,,,,,
1.5,0.45,5.375,0,0.1775000000,,,,,,,,,,
1.5,0.24,5.1875,0.06,0.1776041667,,,,,,,,,,
1.375,0.32,5.0625,-0.02,0.1777083333,,,,,,,,,,
1.3125,0.35,4.875,0.04,0.1778125000,,,,,,,,,,
1.3125,0.27,4.6875,-0.04,0.1779166667,,,,,,,,,,
1.0625,0.37,4.4375,-0.02,0.1780208333,,,,,,,,,,
1.0625,0.23,4.25,-0.03,0.1781250000,,,,,,,,,,
1,0.02,4,0,0.1782291667,,,,,,,,,,
0.875,-0.08,3.75,0,0.1783333333,,,,,,,,,,
0.875,-0.1,3.5625,0.08,0.1784375000,,,,,,,,,,
0.75,-0.05,3.3125,0.08,0.1785416667,,,,,,,,,,
0.5625,-0.03,3,-0.01,0.1786458333,,,,,,,,,,
0.5,-0.05,2.75,-0.02,0.1787500000,,,,,,,,,,
0.375,-0.02,2.5,0.02,0.1788541667,,,,,,,,,,
0.375,-0.07,2.25,0.07,0.1789583333,,,,,,,,,,
0.125,-0.11,2,0.01,0.1790625000,,,,,,,,,,
0,-0.12,1.75,0.03,0.1791666667,,,,,,,,,,
-0.1875,-0.3,1.5,-0.03,0.1792708333,,,,,,,,,,
-0.1875,-0.35,1.25,0.03,0.1793750000,,,,,,,,,,
-0.3125,-0.37,1,-0.01,0.1794791667,,,,,,,,,,
-0.625,-0.44,0.75,-0.01,0.1795833333,,,,,,,,,,
-0.625,-0.35,0.5,-0.03,0.1796875000,,,,,,,,,,
-0.8125,-0.46,0.3125,0.01,0.1797916667,,,,,,,,,,
-0.8125,-0.22,0.0625,-0.04,0.1798958333,,,,,,,,,,
-1,-0.06,-0.125,0.06,0.1800000000,,,,,,,,,,
-1.1875,-0.02,-0.3125,-0.01,0.1801041667,,,,,,,,,,
-1.1875,0.04,-0.5,-0.02,0.1802083333,,,,,,,,,,
-1.25,0,-0.5,-0.05,0.1803125000,,,,,,,,,,
-1.375,-0.06,-0.6875,0.04,0.1804166667,,,,,,,,,,
-1.5,-0.19,-0.9375,0,0.1805208333,,,,,,,,,,
-1.5,-0.26,-1.0625,0.05,0.1806250000,,,,,,,,,,
-1.625,-0.56,-1.0625,0.04,0.1807291667,,,,,,,,,,
-1.6875,-0.63,-1.1875,-0.01,0.1808333333,,,,,,,,,,
-1.75,-0.85,-1.3125,0.04,0.1809375000,,,,,,,,,,
-1.8125,-0.87,-1.375,0,0.1810416667,,,,,,,,,,
-1.875,-0.98,-1.375,0.03,0.1811458333,,,,,,,,,,
-1.9375,-1.12,-1.375,0.04,0.1812500000,,,,,,,,,,
-2,-1.22,-1.375,-0.12,0.1813541667,,,,,,,,,,
-2,-1.31,-1.375,-0.04,0.1814583333,,,,,,,,,,
-2,-1.35,-1.375,-0.02,0.1815625000,,,,,,,,,,
-2,-1.44,-1.3125,0.06,0.1816666667,,,,,,,,,,
-1.9375,-1.42,-1.25,0.04,0.1817708333,,,,,,,,,,
-2,-1.43,-1.0625,-0.03,0.1818750000,,,,,,,,,,
-1.9375,-1.28,-1.0625,0.04,0.1819791667,,,,,,,,,,
-2,-1.25,-0.8125,0.03,0.1820833333,,,,,,,,,,
-2,-1.09,-0.8125,0.01,0.1821875000,,,,,,,,,,
-2,-0.88,-0.6875,-0.01,0.1822916667,,,,,,,,,,
-2,-0.75,-0.5,-0.01,0.1823958333,,,,,,,,,,
-1.9375,-0.71,-0.125,0.01,0.1825000000,,,,,,,,,,
-1.875,-0.54,0.0625,0.04,0.1826041667,,,,,,,,,,
-1.8125,-0.36,0.0625,-0.02,0.1827083333,,,,,,,,,,
-1.75,-0.18,0.3125,0,0.1828125000,,,,,,,,,,
-1.625,0.04,0.5,-0.04,0.1829166667,,,,,,,,,,
-1.5625,0.1,0.75,0.03,0.1830208333,,,,,,,,,,
-1.4375,0.23,1,-0.01,0.1831250000,,,,,,,,,,
-1.3125,0.44,1.25,-0.01,0.1832291667,,,,,,,,,,
-1.1875,0.74,1.5,0.05,0.1833333333,,,,,,,,,,
-1.0625,0.81,1.75,0.04,0.1834375000,,,,,,,,,,
-1,0.86,2,0.01,0.1835416667,,,,,,,,,,
-0.9375,1.14,2.25,-0.02,0.1836458333,,,,,,,,,,
-0.75,1.09,2.5,0.01,0.1837500000,,,,,,,,,,
-0.6875,1.34,2.75,0.03,0.1838541667,,,,,,,,,,
-0.625,1.18,3,-0.01,0.1839583333,,,,,,,,,,
-0.4375,1.22,3.25,-0.02,0.1840625000,,,,,,,,,,
-0.3125,1.19,3.5,-0.02,0.1841666667,,,,,,,,,,
-0.125,1.06,3.6875,0,0.1842708333,,,,,,,,,,
0,1,3.9375,0.01,0.1843750000,,,,,,,,,,
0.125,0.9,4.125,-0.03,0.1844791667,,,,,,,,,,
0.3125,0.73,4.375,0.03,0.1845833333,,,,,,,,,,
0.4375,0.66,4.5625,0.02,0.1846875000,,,,,,,,,,
0.5625,0.61,4.6875,0.01,0.1847916667,,,,,,,,,,
0.6875,0.45,4.875,-0.01,0.1848958333,,,,,,,,,,
0.8125,0.43,5.0625,0.01,0.1850000000,,,,,,,,,,
0.875,0.21,5.1875,-0.01,0.1851041667,,,,,,,,,,
0.9375,0.15,5.3125,0.03,0.1852083333,,,,,,,,,,
1,0.19,5.4375,-0.05,0.1853125000,,,,,,,,,,
1.0625,0.28,5.5,0.03,0.1854166667,,,,,,,,,,
1.125,0.24,5.625,-0.02,0.1855208333,,,,,,,,,,
1.125,0.29,5.6875,-0.01,0.1856250000,,,,,,,,,,
1.1875,0.4,5.6875,0.01,0.1857291667,,,,,,,,,,
1.25,0.34,5.75,-0.05,0.1858333333,,,,,,,,,,
1.3125,0.33,5.75,-0.02,0.1859375000,,,,,,,,,,
1.375,0.22,5.75,-0.03,0.1860416667,,,,,,,,,,
1.4375,0.29,5.6875,0.07,0.1861458333,,,,,,,,,,
1.5,0.23,5.6875,0.01,0.1862500000,,,,,,,,,,
1.5,0.3,5.625,0.06,0.1863541667,,,,,,,,,,
1.4375,0.47,5.5,0,0.1864583333,,,,,,,,,,
1.4375,0.43,5.4375,0,0.1865625000,,,,,,,,,,
1.4375,0.62,5.3125,-0.01,0.1866666667,,,,,,,,,,
1.3125,0.48,5.1875,0.01,0.1867708333,,,,,,,,,,
1.3125,0.42,5.0625,-0.05,0.1868750000,,,,,,,,,,
1.25,0.18,4.875,0.02,0.1869791667,,,,,,,,,,
1.25,0.22,4.6875,-0.02,0.1870833333,,,,,,,,,,
1.1875,0.19,4.5,-0.04,0.1871875000,,,,,,,,,,
1.125,0.05,4.3125,0.02,0.1872916667,,,,,,,,,,
1.0625,-0.03,4.125,-0.01,0.1873958333,,,,,,,,,,
0.9375,-0.02,3.875,0,0.1875000000,,,,,,,,,,
0.9375,0,3.6875,-0.01,0.1876041667,,,,,,,,,,
0.875,-0.03,3.4375,0.02,0.1877083333,,,,,,,,,,
0.75,-0.04,3.1875,-0.01,0.1878125000,,,,,,,,,,
0.625,-0.08,2.9375,-0.06,0.1879166667,,,,,,,,,,
0.5,-0.14,2.6875,0,0.1880208333,,,,,,,,,,
0.375,-0.07,2.5,0,0.1881250000,,,,,,,,,,
0.1875,-0.08,2.25,0.06,0.1882291667,,,,,,,,,,
0.0625,-0.08,2,0.08,0.1883333333,,,,,,,,,,
0,-0.25,1.75,-0.01,0.1884375000,,,,,,,,,,
-0.125,-0.43,1.5,0,0.1885416667,,,,,,,,,,
-0.25,-0.32,1.25,0.01,0.1886458333,,,,,,,,,,
-0.3125,-0.25,1.0625,-0.01,0.1887500000,,,,,,,,,,
-0.5,-0.34,0.8125,-0.02,0.1888541667,,,,,,,,,,
-0.5625,-0.13,0.625,0.01,0.1889583333,,,,,,,,,,
-0.625,-0.07,0.375,0.03,0.1890625000,,,,,,,,,,
-0.8125,-0.02,0.1875,-0.03,0.1891666667,,,,,,,,,,
-0.9375,-0.01,0,0.01,0.1892708333,,,,,,,,,,
-1,0,-0.1875,0.03,0.1893750000,,,,,,,,,,
-1.125,0.01,-0.3125,0.02,0.1894791667,,,,,,,,,,
-1.25,-0.01,-0.5,-0.06,0.1895833333,,,,,,,,,,
-1.375,-0.02,-0.625,0.01,0.1896875000,,,,,,,,,,
-1.4375,-0.07,-0.75,0.01,0.1897916667,,,,,,,,,,
-1.5,-0.17,-0.8125,-0.01,0.1898958333,,,,,,,,,,
-1.5625,-0.36,-0.9375,-0.01,0.1900000000,,,,,,,,,,
-1.625,-0.63,-1,0,0.1901041667,,,,,,,,,,
-1.625,-0.79,-1.0625,-0.01,0.1902083333,,,,,,,,,,
-1.625,-0.83,-1.0625,-0.01,0.1903125000,,,,,,,,,,
-1.625,-0.8,-1.125,0.01,0.1904166667,,,,,,,,,,
-1.625,-0.87,-1.125,0,0.1905208333,,,,,,,,,,
-1.6875,-0.84,-1.125,0.04,0.1906250000,,,,,,,,,,
-1.6875,-0.79,-1.125,-0.04,0.1907291667,,,,,,,,,,
-1.8125,-0.69,-1.0625,0.05,0.1908333333,,,,,,,,,,
-1.8125,-0.72,-1,-0.05,0.1909375000,,,,,,,,,,
-1.875,-0.79,-0.9375,-0.01,0.1910416667,,,,,,,,,,
-1.8125,-0.73,-0.875,0.04,0.1911458333,,,,,,,,,,
-1.8125,-0.73,-0.75,-0.02,0.1912500000,,,,,,,,,,
-1.8125,-0.73,-0.625,-0.01,0.1913541667,,,,,,,,,,
-1.75,-0.79,-0.5,0,0.1914583333,,,,,,,,,,
-1.6875,-0.75,-0.375,-0.01,0.1915625000,,,,,,,,,,
-1.625,-0.63,-0.1875,-0.01,0.1916666667,,,,,,,,,,
-1.5625,-0.57,0,-0.02,0.1917708333,,,,,,,,,,
-1.4375,-0.43,0.1875,0.02,0.1918750000,,,,,,,,,,
-1.375,-0.1,0.375,-0.05,0.1919791667,,,,,,,,,,
-1.3125,0.04,0.5625,-0.07,0.1920833333,,,,,,,,,,
-1.25,0.03,0.8125,-0.01,0.1921875000,,,,,,,,,,
-1.1875,0.13,1,0.05,0.1922916667,,,,,,,,,,
-1.0625,0.25,1.25,0,0.1923958333,,,,,,,,,,
-1,0.45,1.5,-0.07,0.1925000000,,,,,,,,,,
-0.9375,0.43,1.6875,-0.02,0.1926041667,,,,,,,,,,
-0.875,0.77,1.9375,0.01,0.1927083333,,,,,,,,,,
-0.6875,0.91,2.1875,0,0.1928125000,,,,,,,,,,
-0.6875,0.78,2.4375,0.06,0.1929166667,,,,,,,,,,
-0.5,0.81,2.6875,-0.07,0.1930208333,,,,,,,,,,
-0.25,0.87,2.875,0,0.1931250000,,,,,,,,,,
-0.125,0.81,3.125,0.02,0.1932291667,,,,,,,,,,
0,0.7,3.375,0.01,0.1933333333,,,,,,,,,,
0.125,0.56,3.625,-0.02,0.1934375000,,,,,,,,,,
0.3125,0.56,3.8125,0,0.1935416667,,,,,,,,,,
0.375,0.56,4,-0.01,0.1936458333,,,,,,,,,,
0.4375,0.4,4.1875,-0.05,0.1937500000,,,,,,,,,,
0.5625,0.42,4.375,-0.04,0.1938541667,,,,,,,,,,
0.6875,0.26,4.5625,0,0.1939583333,,,,,,,,,,
0.75,0.17,4.75,0.01,0.1940625000,,,,,,,,,,
0.8125,0.14,4.875,0.04,0.1941666667,,,,,,,,,,
0.875,0.18,5.0625,-0.02,0.1942708333,,,,,,,,,,
0.9375,0.24,5.1875,0.02,0.1943750000,,,,,,,,,,
0.9375,0.23,5.3125,-0.03,0.1944791667,,,,,,,,,,
1.0625,0.28,5.375,0.03,0.1945833333,,,,,,,,,,
1.0625,0.27,5.4375,-0.01,0.1946875000,,,,,,,,,,
1.3125,0.33,5.5,0,0.1947916667,,,,,,,,,,
1.375,0.26,5.5625,0,0.1948958333,,,,,,,,,,
1.375,0.18,5.5625,0.02,0.1950000000,,,,,,,,,,
1.4375,0.21,5.5625,-0.02,0.1951041667,,,,,,,,,,
1.5,0.26,5.5625,-0.05,0.1952083333,,,,,,,,,,
1.4375,0.33,5.5,0,0.1953125000,,,,,,,,,,
1.4375,0.43,5.5,-0.06,0.1954166667,,,,,,,,,,
1.4375,0.47,5.4375,0.06,0.1955208333,,,,,,,,,,
1.4375,0.57,5.3125,-0.01,0.1956250000,,,,,,,,,,
1.4375,0.52,5.25,0.01,0.1957291667,,,,,,,,,,
1.375,0.51,5.125,-0.02,0.1958333333,,,,,,,,,,
1.375,0.27,5,0.04,0.1959375000,,,,,,,,,,
1.375,0.26,4.8125,0.02,0.1960416667,,,,,,,,,,
1.375,0.31,4.6875,0,0.1961458333,,,,,,,,,,
1.375,0.13,4.5,-0.01,0.1962500000,,,,,,,,,,
1.3125,0.12,4.3125,0.03,0.1963541667,,,,,,,,,,
1.1875,0.09,4.125,0.01,0.1964583333,,,,,,,,,,
1.1875,0.22,3.9375,-0.02,0.1965625000,,,,,,,,,,
1.125,0.21,3.9375,-0.02,0.1966666667,,,,,,,,,,
1,0.08,3.5,0,0.1967708333,,,,,,,,,,
0.8125,0,3.25,0.03,0.1968750000,,,,,,,,,,
0.8125,-0.04,3.0625,-0.02,0.1969791667,,,,,,,,,,
0.75,-0.04,2.8125,-0.01,0.1970833333,,,,,,,,,,
0.625,-0.07,2.5625,-0.06,0.1971875000,,,,,,,,,,
0.4375,-0.07,2.5625,0.01,0.1972916667,,,,,,,,,,
0.375,-0.08,2.125,0,0.1973958333,,,,,,,,,,
0.25,-0.04,1.875,-0.01,0.1975000000,,,,,,,,,,
0.1875,-0.1,1.6875,0.01,0.1976041667,,,,,,,,,,
0.0625,-0.23,1.4375,0.01,0.1977083333,,,,,,,,,,
-0.0625,-0.32,1.4375,-0.03,0.1978125000,,,,,,,,,,
-0.125,-0.33,1,-0.05,0.1979166667,,,,,,,,,,
-0.1875,-0.5,1,0,0.1980208333,,,,,,,,,,
-0.3125,-0.33,0.8125,-0.02,0.1981250000,,,,,,,,,,
-0.4375,-0.39,0.625,-0.01,0.1982291667,,,,,,,,,,
-0.5625,-0.26,0.25,0.01,0.1983333333,,,,,,,,,,
-0.6875,-0.07,0.25,0.02,0.1984375000,,,,,,,,,,
-0.9375,-0.01,0.0625,0.03,0.1985416667,,,,,,,,,,
-0.9375,0.02,-0.0625,0.04,0.1986458333,,,,,,,,,,
-1.125,-0.05,-0.25,0.01,0.1987500000,,,,,,,,,,
-1.1875,-0.07,-0.5,-0.02,0.1988541667,,,,,,,,,,
-1.25,-0.04,-0.5,0.06,0.1989583333,,,,,,,,,,
-1.25,-0.03,-0.6875,-0.03,0.1990625000,,,,,,,,,,
-1.375,-0.15,-0.6875,-0.03,0.1991666667,,,,,,,,,,
-1.4375,-0.36,-0.75,-0.04,0.1992708333,,,,,,,,,,
-1.5,-0.48,-0.8125,0.01,0.1993750000,,,,,,,,,,
-1.5,-0.62,-0.875,0.02,0.1994791667,,,,,,,,,,
-1.5,-0.69,-0.875,0.03,0.1995833333,,,,,,,,,,
-1.5625,-0.64,-0.9375,-0.01,0.1996875000,,,,,,,,,,
-1.5625,-0.65,-0.9375,-0.01,0.1997916667,,,,,,,,,,
-1.625,-0.55,-0.875,0.03,0.1998958333,,,,,,,,,,
-1.6875,-0.68,-0.875,-0.01,0.2000000000,,,,,,,,,,
-1.75,-0.7,-0.8125,0.01,0.2001041667,,,,,,,,,,
-1.75,-0.63,-0.75,0.05,0.2002083333,,,,,,,,,,
-1.6875,-0.66,-0.6875,-0.03,0.2003125000,,,,,,,,,,
-1.75,-0.7,-0.625,-0.03,0.2004166667,,,,,,,,,,
-1.6875,-0.74,-0.5,0.01,0.2005208333,,,,,,,,,,
-1.6875,-0.71,-0.375,0.04,0.2006250000,,,,,,,,,,
-1.625,-0.53,-0.0625,-0.05,0.2007291667,,,,,,,,,,
-1.625,-0.58,-0.0625,0.04,0.2008333333,,,,,,,,,,
-1.5625,-0.52,0.0625,-0.03,0.2009375000,,,,,,,,,,
-1.5,-0.33,0.25,0.04,0.2010416667,,,,,,,,,,
-1.4375,-0.1,0.625,0.04,0.2011458333,,,,,,,,,,
-1.375,0.04,0.625,0,0.2012500000,,,,,,,,,,
-1.3125,0.02,0.8125,0.04,0.2013541667,,,,,,,,,,
-1.25,0.11,1,0,0.2014583333,,,,,,,,,,
-1.1875,0.12,1.25,0.02,0.2015625000,,,,,,,,,,
-1.0625,0.14,1.4375,0.03,0.2016666667,,,,,,,,,,
-0.9375,0.25,1.6875,-0.01,0.2017708333,,,,,,,,,,
-0.8125,0.29,1.875,0.07,0.2018750000,,,,,,,,,,
-0.75,0.4,2.125,-0.02,0.2019791667,,,,,,,,,,
-0.625,0.53,2.375,0.06,0.2020833333,,,,,,,,,,
